EmployeeID,EmpName,CourseID,CourseName,Rating
1408,Ignace Ormonde,14,Video Production,3
1249,Gabriela Balcon,17,Translation,2
1158,Enrique Lewer,8,IT Architecture,3
1564,Wallie Byrd,18,Natural Language Processing,3
1334,Hannah Ganter,6,Java Programming,4
1713,Josefa Skatcher,17,Translation,3
1499,Theobald Crosston,13,UX Design,1
1090,Delmer Chiplen,21,Social Media Marketing,1
1839,Adeline Diwell,12,People Management,1
1119,Annamarie Powderham,16,Audio Production,3
1076,Rossie McGonnell,20,Game Development,2
1730,Francesco Trendle,20,Game Development,1
1362,Steffie Ferraretto,22,Animation,2
1489,Rosita Katzmann,18,Natural Language Processing,3
1202,Hedvig McGrail,22,Animation,2
1238,Nan Sutherel,22,Animation,3
1116,Gene Gavini,20,Game Development,3
1589,Gerrard Lafflina,13,UX Design,3
1001,Neel Sommersett,16,Audio Production,4
1582,Jodee Bletso,8,IT Architecture,4
1404,Kariotta Gueinn,13,UX Design,4
1543,Dina Vassano,9,Blockchain,2
1937,Angil Holton,23,Business Analytics,2
1198,Gaylene Chesnay,11,Analytical Reasoning,4
1936,Mikael Pendell,18,Natural Language Processing,3
1515,Elita Cree,23,Business Analytics,3
1368,Leese Mapam,17,Translation,4
1113,Robina Goundsy,20,Game Development,1
1771,Nanette Gabe,7,Project Management,2
1521,Collin Scriviner,14,Video Production,2
1508,Courtnay Blower,12,People Management,4
1041,Fae Iscowitz,24,Journalism,2
1453,Barbara-anne Gosz,13,UX Design,2
1056,Fae Potte,25,Digital Marketing,1
1269,Armstrong O'Devey,24,Journalism,4
1716,Franchot Orhrt,7,Project Management,3
1359,Briano Foskin,5,HelpDesk,5
1482,Kailey Brickwood,12,People Management,2
1938,Katti Kurten,25,Digital Marketing,4
1906,Robin Wellman,25,Digital Marketing,2
1552,Callida Denford,12,People Management,5
1306,Hanni Pattingson,8,IT Architecture,5
1606,Tiebout Dinkin,10,Mobile Development,3
1191,Norry Bitcheno,22,Animation,3
1938,Katti Kurten,8,IT Architecture,4
1957,Marti Windle,4,Machine Learning,4
